Time,Site,LR,HR
2069,Saint Croix,18.73251375,14.15402067
2069,Saint Thomas,18.52478322,13.33494045
2070,Cheeca Rocks,20.21531435,22.20172246
2070,Dry Tortugas,19.52711525,20.54318296
2070,Flower Garden Banks,17.6303437,20.10370054
2070,La Parguera,19.2556504,17.17027986
2070,Saint Croix,19.48359843,16.81952929
2070,Saint Thomas,19.55639603,16.22240725
2071,Cheeca Rocks,19.34416171,22.00443926
2071,Dry Tortugas,18.51152439,20.35787515
2071,Flower Garden Banks,15.10275274,20.37726616
2071,La Parguera,18.71616399,17.09100029
2071,Saint Croix,18.87545311,19.25371619
2071,Saint Thomas,19.27875702,17.24562685
2072,Cheeca Rocks,19.43569195,19.73973377
2072,Dry Tortugas,18.17581307,18.63210442
2072,Flower Garden Banks,14.30553092,18.86045809
2072,La Parguera,20.26746187,15.85750664
2072,Saint Croix,20.48874422,17.17686933
2072,Saint Thomas,20.69705071,16.20473876
2073,Cheeca Rocks,20.32510653,21.38462036
2073,Dry Tortugas,18.67345209,21.08251272
2073,Flower Garden Banks,15.16417599,20.75799303
2073,La Parguera,21.09026981,20.81057916
2073,Saint Croix,21.24311262,18.19388986
2073,Saint Thomas,21.19123685,19.37442576
2074,Cheeca Rocks,21.21450966,21.0172879
2074,Dry Tortugas,19.80167007,21.62093186
2074,Flower Garden Banks,16.35865349,19.97507616
2074,La Parguera,20.78482848,16.3249742
2074,Saint Croix,20.85521729,17.90732345
2074,Saint Thomas,21.07728089,16.75729213
2075,Cheeca Rocks,21.83820806,21.81224613
2075,Dry Tortugas,20.73903293,20.60324309
2075,Flower Garden Banks,18.05088535,20.05233797
2075,La Parguera,22.26516638,15.3323544
2075,Saint Croix,22.39013967,17.18140006
2075,Saint Thomas,22.59408702,15.19514512
2076,Cheeca Rocks,22.20468894,21.30335872
2076,Dry Tortugas,21.00574569,19.15083332
2076,Flower Garden Banks,16.89312922,21.10912126
2076,La Parguera,24.52237744,17.56970542
2076,Saint Croix,24.83009626,18.04614218
2076,Saint Thomas,24.87916779,17.14775274
2077,Cheeca Rocks,23.42111513,21.39153925
2077,Dry Tortugas,22.06835724,23.52874126
2077,Flower Garden Banks,19.89931508,21.72901654
2077,La Parguera,23.31345171,18.94340846
2077,Saint Croix,23.28199693,20.09572142
2077,Saint Thomas,23.66272762,19.08101484
2078,Cheeca Rocks,24.59780726,23.61848865
2078,Dry Tortugas,23.04746233,22.68461475
2078,Flower Garden Banks,21.47436412,22.78149857
2078,La Parguera,22.93480156,18.7768503
2078,Saint Croix,23.01109284,19.66191415
2078,Saint Thomas,23.14373457,18.90025958
2079,Cheeca Rocks,24.82312719,20.32937396
2079,Dry Tortugas,23.53237787,20.70045576
2079,Flower Garden Banks,22.10791393,22.70539398
2079,La Parguera,24.83780373,18.21367888
2079,Saint Croix,25.02848419,18.34312125
2079,Saint Thomas,24.82968866,17.91338997
2080,Cheeca Rocks,26.13689402,22.9608894
2080,Dry Tortugas,24.80082075,22.10520543
2080,Flower Garden Banks,23.45995662,23.2570672
2080,La Parguera,25.33683648,18.16859234
2080,Saint Croix,25.43827544,18.91292432
2080,Saint Thomas,25.76569404,17.70443339
2081,Cheeca Rocks,26.36567664,24.81709838
2081,Dry Tortugas,24.7974018,22.0557438
2081,Flower Garden Banks,22.9148588,21.89142224
2081,La Parguera,25.63049158,21.97979298
2081,Saint Croix,25.89448101,21.18523659
2081,Saint Thomas,26.1083425,20.85765082
2082,Cheeca Rocks,26.73110506,22.30051376
2082,Dry Tortugas,25.14158998,20.32151086
2082,Flower Garden Banks,22.82263124,20.72841685
2082,La Parguera,25.07182891,22.50398728
2082,Saint Croix,25.16281617,23.40679678
2082,Saint Thomas,25.51485419,22.46806564
2083,Cheeca Rocks,28.21241519,21.98813819
2083,Dry Tortugas,26.47448109,21.17749055
2083,Flower Garden Banks,24.40168583,20.19637834
2083,La Parguera,25.95370274,20.51018563
2083,Saint Croix,26.36930089,21.72977633
2083,Saint Thomas,26.27108946,20.70469989
2084,Cheeca Rocks,28.57877955,24.63183693
2084,Dry Tortugas,27.21419767,23.9527399
2084,Flower Garden Banks,25.26885298,22.92463021
2084,La Parguera,27.86091828,25.64962868
2084,Saint Croix,28.22051235,25.11013811
2084,Saint Thomas,27.91721906,24.44999233
2085,Cheeca Rocks,29.4089031,23.11619418
2085,Dry Tortugas,27.3392559,24.31367156
2085,Flower Garden Banks,25.71544973,24.54144426
2085,La Parguera,27.43609873,23.38850488
2085,Saint Croix,27.70499626,23.30936884
2085,Saint Thomas,27.65928981,22.76331917
2086,Cheeca Rocks,30.77924303,27.73461443
2086,Dry Tortugas,28.95365267,27.29303386
2086,Flower Garden Banks,28.49151736,26.14293713
2086,La Parguera,27.4668751,23.09598301
2086,Saint Croix,27.87696659,22.26523192
2086,Saint Thomas,27.56004397,21.83680042
2087,Cheeca Rocks,30.78375674,26.83566781
2087,Dry Tortugas,29.33628225,25.68116718
2087,Flower Garden Banks,26.49829504,24.37383491
2087,La Parguera,30.48240894,19.28062146
2087,Saint Croix,31.04485296,20.22780284
2087,Saint Thomas,30.66143536,18.74621035
2088,Cheeca Rocks,31.83402375,27.04155282
2088,Dry Tortugas,30.66069336,27.08936114
2088,Flower Garden Banks,28.41960887,27.24561838
2088,La Parguera,31.52730943,22.38721623
2088,Saint Croix,32.1420427,23.21522783
2088,Saint Thomas,31.79877842,22.55053659
2089,Cheeca Rocks,32.63381598,26.74916038
2089,Dry Tortugas,30.88674792,25.8979781
2089,Flower Garden Banks,29.52859444,24.77735672
2089,La Parguera,28.5472455,25.23991541
2089,Saint Croix,28.82129903,26.50433807
2089,Saint Thomas,29.04432131,24.79441821
2090,Cheeca Rocks,33.94651399,29.09256611
2090,Dry Tortugas,32.03288343,26.33596121
2090,Flower Garden Banks,32.00575196,26.43594669
2090,La Parguera,28.54832942,26.96008385
2090,Saint Croix,28.8644139,27.17428628
2090,Saint Thomas,28.5269236,26.19653703
2091,Cheeca Rocks,34.66220368,28.64559189
2091,Dry Tortugas,32.8900609,27.06372044
2091,Flower Garden Banks,31.97786208,26.16004177
2091,La Parguera,30.01869257,27.00301942
2091,Saint Croix,30.19347946,27.05366328
2091,Saint Thomas,30.00474828,26.30629203
2092,Cheeca Rocks,35.34861516,32.13634705
2092,Dry Tortugas,33.4256063,31.69408245
2092,Flower Garden Banks,31.514612,29.72358151
2092,La Parguera,32.85147894,24.86140507
2092,Saint Croix,33.33321242,25.37889379
2092,Saint Thomas,32.93321052,24.10217736
2093,Cheeca Rocks,36.3824029,29.49578418
2093,Dry Tortugas,34.93240416,28.3604048
2093,Flower Garden Banks,33.06629053,28.44731066
2093,La Parguera,34.93792477,25.05689335
2093,Saint Croix,35.15815853,26.13050531
2093,Saint Thomas,34.94085004,25.1790242
2094,Cheeca Rocks,37.72463285,32.74651156
2094,Dry Tortugas,36.47910589,33.06077487
2094,Flower Garden Banks,33.45927608,31.43230656
2094,La Parguera,35.30913415,26.05005839
2094,Saint Croix,35.26891689,26.65772021
2094,Saint Thomas,35.85021259,26.43893121
2095,Cheeca Rocks,37.18675277,31.42968219
2095,Dry Tortugas,35.29484421,30.0990634
2095,Flower Garden Banks,32.31641686,29.39496642
