"Time","variable","CoralCover","Scenario"
2039,"1",35.3235941891628,"SSP2_4.5"
2040,"1",35.9320289877683,"SSP2_4.5"
2041,"1",36.5453312647626,"SSP2_4.5"
2042,"1",37.1635399599729,"SSP2_4.5"
2043,"1",37.4608482796527,"SSP2_4.5"
2044,"1",37.7605350658899,"SSP2_4.5"
2045,"1",38.062619346417,"SSP2_4.5"
2046,"1",38.3671203011884,"SSP2_4.5"
2047,"1",38.6740572635979,"SSP2_4.5"
2048,"1",38.9834497217067,"SSP2_4.5"
2049,"1",39.2953173194803,"SSP2_4.5"
2050,"1",39.6096798580361,"SSP2_4.5"
2051,"1",39.9265572969004,"SSP2_4.5"
2052,"1",40.2459697552756,"SSP2_4.5"
2053,"1",40.5679375133179,"SSP2_4.5"
2054,"1",40.8924810134244,"SSP2_4.5"
2055,"1",41.2196208615318,"SSP2_4.5"
2056,"1",41.549377828424,"SSP2_4.5"
2057,"1",41.8817728510514,"SSP2_4.5"
2058,"1",42.2168270338598,"SSP2_4.5"
2059,"1",42.5545616501307,"SSP2_4.5"
2060,"1",42.8949981433318,"SSP2_4.5"
2061,"1",43.2381581284784,"SSP2_4.5"
2062,"1",43.5840633935062,"SSP2_4.5"
2063,"1",43.9327359006543,"SSP2_4.5"
2064,"1",44.2841977878595,"SSP2_4.5"
2065,"1",44.6384713701624,"SSP2_4.5"
2066,"1",44.9955791411237,"SSP2_4.5"
2067,"1",45.3555437742527,"SSP2_4.5"
2068,"1",45.7183881244467,"SSP2_4.5"
2069,"1",46.0841352294423,"SSP2_4.5"
2070,"1",45.2437798395307,"SSP2_4.5"
2071,"1",44.6544275297126,"SSP2_4.5"
2072,"1",42.0347711247449,"SSP2_4.5"
2073,"1",39.6031392916832,"SSP2_4.5"
2074,"1",39.223781361168,"SSP2_4.5"
2075,"1",36.9880991899059,"SSP2_4.5"
2076,"1",34.9108550689105,"SSP2_4.5"
2077,"1",32.9796524571553,"SSP2_4.5"
2078,"1",31.1831450194891,"SSP2_4.5"
2079,"1",29.5109411225755,"SSP2_4.5"
2080,"1",27.9535175427806,"SSP2_4.5"
2081,"1",26.5021414566194,"SSP2_4.5"
2082,"1",25.1487998812084,"SSP2_4.5"
2083,"1",23.8861358186884,"SSP2_4.5"
2084,"1",22.7073904358968,"SSP2_4.5"
2085,"1",21.606350679677,"SSP2_4.5"
2086,"1",20.5773017900007,"SSP2_4.5"
2087,"1",19.614984228335,"SSP2_4.5"
2088,"1",18.7145545881098,"SSP2_4.5"
2089,"1",17.8715500983693,"SSP2_4.5"
2090,"1",17.0818563712657,"SSP2_4.5"
2091,"1",16.341678079489,"SSP2_4.5"
2092,"1",15.6475122814521,"SSP2_4.5"
2093,"1",14.9961241404725,"SSP2_4.5"
2094,"1",14.3845248096548,"SSP2_4.5"
2095,"1",13.8099512770009,"SSP2_4.5"
2096,"1",13.2698479857376,"SSP2_4.5"
2097,"1",12.7618500631996,"SSP2_4.5"
2098,"1",12.2837680080719,"SSP2_4.5"
2099,"1",11.8335737005684,"SSP2_4.5"
2100,"1",11.4093876133881,"SSP2_4.5"
2019,"1.25",26.7996713877008,"SSP2_4.5"
2020,"1.25",26.9872690874147,"SSP2_4.5"
2021,"1.25",27.1761799710266,"SSP2_4.5"
2022,"1.25",27.3664132308238,"SSP2_4.5"
2023,"1.25",27.5579781234396,"SSP2_4.5"
2024,"1.25",27.7508839703036,"SSP2_4.5"
2025,"1.25",27.9451401580958,"SSP2_4.5"
2026,"1.25",28.1407561392024,"SSP2_4.5"
2027,"1.25",28.3377414321768,"SSP2_4.5"
2028,"1.25",28.5361056222021,"SSP2_4.5"
2029,"1.25",28.7358583615575,"SSP2_4.5"
2030,"1.25",28.9370093700884,"SSP2_4.5"
2031,"1.25",29.139568435679,"SSP2_4.5"
2032,"1.25",29.3435454147288,"SSP2_4.5"
2033,"1.25",29.5489502326319,"SSP2_4.5"
2034,"1.25",29.7557928842603,"SSP2_4.5"
2035,"1.25",29.9640834344501,"SSP2_4.5"
2036,"1.25",30.1738320184913,"SSP2_4.5"
2037,"1.25",30.3850488426207,"SSP2_4.5"
2038,"1.25",30.5977441845191,"SSP2_4.5"
2039,"1.25",30.8119283938107,"SSP2_4.5"
2040,"1.25",31.0276118925674,"SSP2_4.5"
2041,"1.25",31.2448051758153,"SSP2_4.5"
2042,"1.25",31.463518812046,"SSP2_4.5"
2043,"1.25",31.6837634437304,"SSP2_4.5"
2044,"1.25",31.9055497878365,"SSP2_4.5"
2045,"1.25",32.1288886363513,"SSP2_4.5"
2046,"1.25",32.3537908568058,"SSP2_4.5"
2047,"1.25",32.5802673928034,"SSP2_4.5"
2048,"1.25",32.8083292645531,"SSP2_4.5"
2049,"1.25",33.0379875694049,"SSP2_4.5"
2050,"1.25",33.2692534823908,"SSP2_4.5"
2051,"1.25",33.5021382567675,"SSP2_4.5"
2052,"1.25",33.7366532245649,"SSP2_4.5"
2053,"1.25",33.9728097971368,"SSP2_4.5"
2054,"1.25",34.2106194657168,"SSP2_4.5"
2055,"1.25",34.4500938019768,"SSP2_4.5"
2056,"1.25",34.6912444585906,"SSP2_4.5"
2057,"1.25",34.9340831698008,"SSP2_4.5"
2058,"1.25",35.1786217519894,"SSP2_4.5"
2059,"1.25",35.4248721042533,"SSP2_4.5"
2060,"1.25",35.6728462089831,"SSP2_4.5"
2061,"1.25",35.922556132446,"SSP2_4.5"
2062,"1.25",36.1740140253731,"SSP2_4.5"
2063,"1.25",36.4272321235507,"SSP2_4.5"
2064,"1.25",36.6822227484155,"SSP2_4.5"
2065,"1.25",36.9389983076545,"SSP2_4.5"
2066,"1.25",37.197571295808,"SSP2_4.5"
2067,"1.25",37.4579542948787,"SSP2_4.5"
2068,"1.25",37.7201599749428,"SSP2_4.5"
2069,"1.25",37.9842010947674,"SSP2_4.5"
2070,"1.25",38.2500905024308,"SSP2_4.5"
2071,"1.25",37.692356075514,"SSP2_4.5"
2072,"1.25",37.1711372026635,"SSP2_4.5"
2073,"1.25",36.6607741144402,"SSP2_4.5"
2074,"1.25",36.1608558611921,"SSP2_4.5"
2075,"1.25",35.6458236095943,"SSP2_4.5"
2076,"1.25",35.1655806018446,"SSP2_4.5"
2077,"1.25",34.6954425998676,"SSP2_4.5"
2078,"1.25",34.2348581262834,"SSP2_4.5"
2079,"1.25",32.2823876866251,"SSP2_4.5"
2080,"1.25",30.4713703307856,"SSP2_4.5"
2081,"1.25",28.79042899126,"SSP2_4.5"
